"ExpType2","Treatment","n","n.iso","Water_d2H_mean","Water_d2H_error","BP0_RAb_norm","BP0_RAb_sd","BP0_d2H","BP0_d2H_sd","BP0_Eps","BP0_Eps_sd","BP1_RAb_norm","BP1_RAb_sd","BP1_d2H","BP1_d2H_sd","BP1_Eps","BP1_Eps_sd","BP1_RingDiff","BP1_RingDiff_sd","BP2_RAb_norm","BP2_RAb_sd","BP2_d2H","BP2_d2H_sd","BP2_Eps","BP2_Eps_sd","BP2_RingDiff","BP2_RingDiff_sd","BP3_RAb_norm","BP3_RAb_sd","BP3_d2H","BP3_d2H_sd","BP3_Eps","BP3_Eps_sd","BP3_RingDiff","BP3_RingDiff_sd","RingIndex_BP","RingIndex_BP_error","AllBP_d2H_wt_mean","AllBP_d2H_wt_error","AllBP_EpsLW_wt_mean","AllBP_EpsLW_wt_error","AllBP_RingDiff_mean","AllBP_RingDiff_error"
"DO","DO_0.2",3,2,-46.8580151093567,5.80782242536945,0.0940415165413273,0.0177618004477043,-244.057791723885,1.76425427543153,-208.238628825867,7.77340637908291,0.261062441216963,0.0480460339310457,-274.720349557173,6.85531961819289,-239.074430467456,2.69515982455453,-30.6820509143245,5.17848969429571,0.553270423808844,0.0598931849560835,-231.043770852862,13.436237617796,-193.18685090368,17.4586853462269,19.5156512877404,2.83133977639334,0.0916256184328662,0.00558746834730248,-230.63048323447,8.98700896370416,-194.146902376383,15.4435862274769,11.8698965023705,1.23200356818966,1.64248014413325,0.253698318731839,-248.223695766196,7.47388618394315,-212.605718219104,7.47522405620971,7.3264901947113,3.44894952397822
"DO","DO_0.5",3,1,-55.5655650366667,0.306603979100076,0.113192235057966,0.019609389597622,-254.854736076981,5.04512391010835,-211.195165499585,5.34333841718715,0.353886667031498,0.0681655587718751,-237.068878148569,4.41346602226832,-192.180938481981,4.67626361952781,10.570977654318,8.08059539082882,0.510001178678557,0.09223615195139,-238.642538588038,5.2521253084081,-193.847722131092,5.56420156893106,4.7417527322508,4.36492371880912,0.0229199192319794,0.00577404536662627,NA,NA,NA,NA,NA,NA,1.43065905955037,0.383505053451104,-244.43403180438,5.10481940891436,-200.163891052706,5.10598298054633,6.68482770627321,0
"DO","DO_2",3,3,-51.2945545821395,1.95423520426937,0.246450293827452,0.0142419268672289,-243.159430151082,5.4531340556513,-202.236348414432,5.98396471722333,0.436667348452222,0.00435187623647714,-241.756289306176,2.20558042115001,-200.75540229116,3.57313942525276,1.48094612327228,0.0363359176779114,0.306096014606625,0.0150350343976773,-241.501558272922,4.12281285380847,-200.487572193602,4.96513842175177,0.571109103986184,0.155977465854641,0.0107863431137021,0.00396501763587929,NA,NA,NA,NA,NA,NA,1.08121840700658,0.414676200902042,-242.016227777135,5.16286273552021,-201.030050356454,5.1715714851313,0.874388110414884,0.882727881715377
"DO","DO_20",3,3,-50.9770963983797,0.899179105650219,0.175499276318558,0.0215142208746132,-242.63775157076,0.521045286544924,-201.955477420602,0.663461905350547,0.383320006050281,0.049982399608452,-242.706364525715,4.24706180505714,-202.025784905075,4.99568416575642,-0.0703074844723042,1.51471976611967,0.360407554930532,0.0474627730550337,-245.500044017421,4.53029383392415,-204.970817964618,4.96105757607969,-2.22635166577528,0.880192719291666,0.0807731627006284,0.118508110062536,NA,NA,NA,NA,NA,NA,1.34645460401323,0.804543375861473,-243.798272850245,6.03641841872725,-203.177232260281,6.03890282468178,-1.50767027200762,2.18869267514932
"Flux","TD_7",6,1,-59.687373673163,0.173205080756888,0.308021149030121,0.00307864490121585,-279.955558182215,6.71060468070445,-234.32343242235,7.13774057044254,0.39045695490405,0.00533696010018983,-275.987734932503,4.02527076804986,-230.10415218053,4.28349903096577,4.21928024182029,8.3244041467979,0.281680047477034,0.00421767307205114,-272.151314578175,5.8825120718635,-226.024602366534,4.97402369303941,4.11448242095236,3.93736392414604,0.0198418485887948,0.00236955486323601,-252.827796188781,16.8229826888005,-205.476474536309,19.403021721041,14.1592064270053,7.79897563745893,1.0133425956245,0.0122544408248932,-275.6697293436,5.74102693202068,-229.765993292494,5.74189779029432,9.15431072745683,5.5693517997866
"Flux","TD_21",9,1,-59.4913574553912,0.346410161513776,0.222784537607076,0.00243722146846938,-260.974286181864,5.58492125737321,-214.16506504579,5.94101617248214,0.354544647429851,0.0043544636159837,-260.947121086585,5.24645175225365,-214.136179337915,5.58126010809977,0.0288857078751903,8.1514500278147,0.388202523710188,0.00389926232067078,-257.121203470595,4.74035446372794,-210.067931556158,5.04340289186215,3.05840726328628,4.23583739055053,0.0344682912528845,0.00430113770433855,-237.018006096951,18.3587030364143,-188.6914158205,19.5222891741419,14.196704634265,7.85911806022671,1.23435456860888,0.0156931962942443,-258.643146470855,6.08674225121523,-211.686273051252,6.09002719474459,8.12263568954044,5.60743805334072
"Flux","TD_44",6,1,-50.0837815261887,0.587901186940259,0.13268565321337,0.00320543515856175,-252.679498985927,4.353546360375,-213.637769739582,4.58397373867242,0.266526657293278,0.00253557364012772,-245.904497300014,5.5442685567603,-206.508826496993,5.83630324822633,7.12894324258917,7.42127016366442,0.538804460233871,0.00574937774246592,-241.576968576428,2.89824587983417,-201.955217792324,3.0542778636026,5.19744233914891,3.56988816349977,0.061983229259481,0.00383120080624231,-238.563423962479,4.83296599777938,-198.784238727253,5.08824572465279,3.99481665135034,2.48145295588396,1.53008526553946,0.0164545862283597,-244.016727614482,4.08426644861851,-204.522435412955,4.08916035676162,4.91804631248967,2.11279670930729
"Water","Water_-400",3,2,-361.69656658566,3.65302679390952,0.199715873162207,0.0266123903505311,-469.130475086971,2.74029161036825,-165.787188157714,1.60159406381017,0.344997856566093,0.0224908816216987,-466.954338314918,0.557222233419019,-162.361999103769,1.84001463049797,3.42518905394557,3.69839791679632,0.399205552769394,0.0220037996939111,-472.321351514905,3.23935168068513,-170.802671274218,2.40208398111643,-5.47420686435074,0.758351566657726,0.0560807175023058,0.027099472278319,NA,NA,NA,NA,NA,NA,1.3116511146118,0.0107151701112117,-469.710056068389,9.11085203227526,-166.696823275962,9.13825063970201,-2.50774155825197,0.40024495865313
"Water","Water_-50",3,1,-48.1151310030709,1.39395066601258,0.1821252718701,0.00281341956412756,-288.562335806879,5.48041416737201,-253.470583796096,5.75287001601735,0.303000856431067,0.0018287120749463,-296.920520327584,18.6089502060522,-261.226452728158,19.5774972225585,7.70910526714565,7.13309490319815,0.475275682295146,0.00296721539327031,-298.813350518896,13.0609713046567,-263.216992535111,13.7403611867687,1.26494954732406,3.31063519828498,0.0395981894036873,0.0036533855899002,NA,NA,NA,NA,NA,NA,1.37234678923242,0.0179707400271779,-282.979180504571,4.06142303706402,-247.612038658294,4.09208468705063,3.41300145393126,0
"Water","Water_+400",3,2,420.860479741168,1.21795215066591,0.152613923864702,0.018045086052338,-65.2615653496811,21.060330075275,-342.138257062548,14.2583217982908,0.281816010824118,0.00765367334080586,-27.4676372047092,7.56625010683236,-315.53485293599,4.73839930443866,26.6034041265582,44.0948596329188,0.516948449634677,0.0226827980655062,-15.4990980799405,5.95283298842168,-307.107327553448,4.78354011946822,12.9714950685457,20.3073831465808,0.0486216156765033,0.00301596132763763,NA,NA,NA,NA,NA,NA,1.46157775712298,0.0293199881945842,-26.728034213879,59.7566955663449,-315.012455088755,59.7608790515068,17.5154647545499,9.52093095887952
